id,naziv,kategorija,opis,web,foto,adresa,mesto,lat,lon
NIV-0001,"Preduzetnička radnja ""Umetnik DABAR""",Zanat,"Preduzetnička radnja ""Umetnik Dabar"" iz Subotice bavi se umetničkom obradom drveta i izradom ručno rađene opreme za dečija igrališta. Kroz funkcionalnost, kreativnost i estetiku, podstiču razvoj dece kroz igru.",https://www.facebook.com/umetnikdabar/,"/img/dabar-logo.jpg,/img/dabar-carolija-1.jpg,/img/dabar-carolija-2.jpg,/img/dabar-carolija-3.jpg",Dositejeva 6,Subotica,46.091005,19.662195
NIV-0002,Dijamant Zrenjanin,Proizvodi,Jestivo rafinisano ulje suncokreta je osnovni proizvod kompanije Dijamant. Prvi je prehrambeni proizvod u Srbiji koji je stekao pravo na znak kvaliteta “Najbolje iz Vojvodine”.,https://dijamant.rs/,"/img/dijamant-logo.jpg,/img/dijamant-1.jpg,/img/dijamant-2.jpg",Temišvarski drum 14,Zrenjanin,45.38576349,20.41460676
NIV-0003,Gastro Srem,Manifestacije,"„Gastro Srem“ je jedinstvena manifestacija koja povezuje gastronomiju, kulturu i turizam, prikazujući tradiciju i savremeni duh Srema. Održava se u Staroj Pazovi i okuplja brojne proizvođače mesa, sira, meda, vina, rakije, udruženja žena, umetnike i goste iz Srbije i inostranstva.",https://gastrosrem.rs/,"/img/gastrosrem-logo.jpg,/img/gastrosrem-1.jpg,/img/gastrosrem-2.jpg,/img/gastrosrem-3.jpg",Svetosavska 11,Stara Pazova,44.962988,20.281477
NIV-0004,Ravno Selo Film Festival,Manifestacije,"Ravno Selo Film Festival promoviše debitantske filmove i mlade autore. Održava se svake godine u Ravnom Selu uz projekcije, koncerte i edukativne programe.",https://ravnoseloff.com/,"/img/ravno-selo-logo.png,/img/ravno-selo-1.jpg,/img/ravno-selo-2.jpg,/img/ravno-selo-3.jpg",7. Jula,Ravno Selo,45.44912285,19.62256773
NIV-0005,Srem Folk Fest,Manifestacije,"„Srem Folk Fest“ je međunarodni festival folklora koji se svake godine od 11. do 15. avgusta održava u Sremskoj Mitrovici. Okuplja ansamble iz celog sveta i promoviše narodne pesme, igre, muziku i nošnje različitih kultura.",http://www.sremfolkfest.org.rs,"/img/srem-folk-logo.jpg,/img/srem-folk-1.jpg,/img/srem-folk-2.jpg,/img/srem-folk-3.jpg",Vuka Karadžića 10,Sremska Mitrovica,44.96720417,19.60905068
NIV-0006,Likovna kolonija UM ING,Manifestacije,"Likovna kolonija „UM–ING“ više od decenije spaja umetnost, privredu i humanost. Okuplja poznate slikare, a sredstva od svake pete aukcije usmeravaju se u humanitarne svrhe, najčešće za zrenjaninsku neonatologiju.",https://www.youtube.com/watch?v=1o-hL1jvw1A,"/img/uming-logo.jpg,/img/uming-1.jpg,/img/uming-2.jpg,/img/uming-3.jpg",Bagljaš Aerodrom 12,Zrenjanin,45.38728318,20.35914033
NIV-0007,Ikonopisna radionica Sandra Stanković,Usluge,"Ikone rađene starom tradicionalnom tehnikom, prepoznatljivog stila, često na neobičnim prirodnim podlogama. Planirane su izložbe 2026. u Kikindi, Bosni i Hercegovini i Hrvatskoj.",https://sandraikone.rs/,"/img/ikonopisac-logo.jpg,/img/ikonopisac-1.jpg,/img/ikonopisac-2.jpg,/img/ikonopisac-3.jpg",Dositejeva 56,Kikinda,45.83421917,20.4700704
NIV-0008,SZR “Maca papučarica”,Proizvodi,"„Maca papučarica“ nudi ručno rađene opanke od prirodne kože, izrađene po tradicionalnim tehnikama sa prostora bivše SFRJ. Spoj autentičnog izgleda, udobnosti i trajnog kvaliteta.",https://www.facebook.com/share/1HpCum6L9n/?mibextid=wwXIfr,"/img/maca-logo.png,/img/maca-1.jpg,/img/maca-2.jpg,/img/maca-3.jpg",Pere Segedinca 71,Kikinda,45.83344565,20.48823918
NIV-0009,Podrum Ćega Banoštor,Usluge,"Vinogradi podruma Ćega nalaze se u Banoštoru na obroncima Fruške gore, selu sa „dva sunca“ – nebeskim i dunavskim odsjajem. Iako osnovan 2020. godine, podrum neguje dugu vinsku tradiciju, a njihova nagrađivana vina prepoznata su po vrhunskom kvalitetu.",https://vojvodina.travel/podrum-cega-banostor/,"/img/cega-logo.jpg,/img/cega-1.jpg,/img/cega-2.jpg,/img/cega-3.jpg",Svetozara Markovića BB,Banoštor,45.2056589,19.58019277
NIV-0010,Vinarija Vinum,Usluge,"Vinarija Vinum nudi širok asortiman nagrađivanih vina vrhunskog kvaliteta, uz besprekornu uslugu i prijem gostiju. Saradnjom s Turističkom organizacijom Sremski Karlovci organizuje događaje i edukacije o kulturi vina i tradiciji ovog kraja.",https://vinum.rs/,"/img/vinum-logo.png,/img/vinum-1.jpg,/img/vinum-2.jpg,/img/vinum-3.jpg",Karlovačkog mira 26a,Sremski Karlovci,45.19776433,19.93997624
NIV-0011,Vinarija Deurić,Usluge,"Vinarija Deurić nudi jedinstven „full wine experience“ – spoj vrhunskih vina, domaće kuhinje i vinskog turizma. Uz restoran, radionice, događaje i smeštaj u apartmanima, posetioci mogu potpuno uživati u čarima Fruške gore.",https://vinarijadeuric.com/,"/img/deuric-logo.jpg,/img/deuric-1.jpg,/img/deuric-2.jpg,/img/deuric-3.jpg",Ekonomija Salaš bb,Mala Remeta,45.09664796,19.74158837
NIV-0012,LAKI LUK & Co,Proizvodi,"Dinstani luk u sopstvenom soku je veganski, pasiran proizvod bez aditiva i konzervansa, napravljen od kvalitetnog crnog luka sa malo soli. Idealan je kao osnova za pripremu raznih jela.",https://www.lakiluk.rs/,"/img/luk-logo.png,/img/luk-1.jpg,/img/luk-2.png,/img/luk-3.png",Partizanska 6,Kucura,45.52901834,19.59791095
NIV-0013,Zdravstvena ustanova Medlab,Usluge,"Medlab primenjuje najsavremenije materijale i opremu za laboratorijsku dijagnostiku, uz potpunu preciznost i bezbednost. Kao jedina privatna COVID laboratorija u Srbiji, ističe se inovativnim pristupom, vrhunskim kvalitetom usluga i stručnim doprinosom kroz edukacije i izdavanje stručne literature.",https://www.medlab.rs/,"/img/medlab-logo.png,/img/medlab-1.jpg,/img/medlab-2.jpg,/img/medlab-3.jpg",Ilije Ognjanovića 1,Novi Sad,45.25505356,19.84772585
NIV-0014,PMP Mangulica,Proizvodi,"PMP Mangulica je porodična firma sa više od 10 godina tradicije u uzgoju mangulica i proizvodnji suhomesnatih proizvoda bez aditiva. Njihovo meso je poznato po kvalitetu i zdravom odnosu holesterola, a proizvodi su dostupni u Kovilju, na pijacama i manifestacijama širom Srbije.",https://www.mangulicakovilj.rs/,"/img/mangulica-logo.jpg,/img/mangulica-1.jpg,/img/mangulica-2.jpg,/img/mangulica-3.jpg",Vojvođanskih brigada 57,Kovilj,45.22206788,20.02970088
NIV-0015,"SZR ""Susam""",Proizvodi,"SZR „Susam“ već 20 godina proizvodi vrhunske domaće štrudle pod brendom „Mak sa Štrudlom“. Odlikuju se bogatim filom od čak 80% i prepoznatljivim, izbalansiranim ukusom.",https://pekarasusam.com/,"/img/susam-logo.png,/img/susam-1.png,/img/susam-2.png,/img/susam-3.png",Mitrovačka 32,Novi Sad,45.23557431,19.81122732
NIV-0016,Vitamin Horgoš,Proizvodi,"Kompanija Vitamin Horgoš naslednik je prve fabrike za preradu paprike osnovane 1919. godine. Poznata po sorti „Horgoška slatka-1“, prvoj priznatnoj začinskoj paprici u Jugoslaviji, čuva tradiciju i kvalitet vojvođanske paprike već više od jednog veka.",https://www.vitamin.co.rs/,"/img/vitamin-logo.jpg,/img/vitamin-1.jpg,/img/vitamin-2.jpg,/img/vitamin-3.png",Segedinski put 427,Horgoš,46.17582004,19.984131
NIV-0017,Advise Institute Novi Sad,Usluge,"Edukativna i konsalting organizacija koja pruža stručnu podršku kroz obuke, radionice i konsultantske usluge, sa ciljem unapređenja znanja, veština i poslovnih procesa.",http://www.adviseinstitute.com/,"/img/advise-logo.png,/img/advise-1.png,/img/advise-2.png,/img/advise-3.png",Temerinska 111,Novi Sad,45.27197478,19.84103205
NIV-0018,UG EtnoDom Gorocvet,Usluge,"Udruženje građana „Etnodom Gorocvet“ iz Inđije čuva i prenosi tradicionalne zanate i veštine na decu i mlade. Kroz radionice u školama i vrtićima neguju se vez, zlatovez, tkanje, keramika i drugi obrasci kulturnog nasleđa Srbije.",https://www.instagram.com/etnodomgorocvet/,"/img/gorocvet-logo.png,/img/gorocvet-1.jpg,/img/gorocvet-2.jpg,/img/gorocvet-3.jpg",Novosadska 47a,Inđija,45.05159675,20.07658565
NIV-0019,Sremska Svinjokolja i Kobasicijada,Manifestacije,Sremska svinjokolja i kobasicijada je međunarodna gastronomsko-privredna manifestacija koja se održava od 1996. godine. Održava se dva puta godišnje – u februaru kao Sremska kobasicijada i u oktobru kao Srem Klob Kob Fest.,https://sremskakobasicijada.rs/,"/img/svinjokolja-logo.png,/img/svinjokolja-1.jpg,/img/svinjokolja-2.jpg,/img/svinjokolja-3.jpg",Svetog Save 74,Šid,45.12471507,19.23295014
NIV-0020,Ravangrad Pivara,Proizvodi,"„Ravangrad pivara“ je prva kraft pivara u Somboru, najzelenijem gradu Srbije. Pivo kuvaju s ljubavlju, koristeći isključivo prirodne sastojke i sopstveni domaći med za posebne sezonske varijante.",https://www.ravangradpivara.rs/,"/img/ravangrad-logo.png,/img/ravangrad-1.jpg,/img/ravangrad-2.jpg,/img/ravangrad-3.png",JNA 39,Sombor,45.76161975,19.12203228
NIV-0021,Bio Farma Šoškić Plus,Proizvodi,Porodična firma koja se bavi organskom proizvodnjom povrća na 15Ha. Plasman i distribucija ka svim većim trgovinskim lancima.,https://biofarmasoksic.rs/,"/img/soskic-logo.png,/img/soskic-1.jpg,/img/soskic-2.png,/img/soskic-3.jpg",Borisa Kidriča 1-3,Taraš,45.46449163,20.20620049
NIV-0022,Velikogospojinski dani,Manifestacije,Velikogospojinski dani u Novom Bečeju tradicionalna su manifestacija koja traje više od tri decenije. Okuplja oko 150.000 posetilaca i nudi bogat program za sve uzraste tokom nekoliko dana uz Tisu.,https://novi-becej.travel/%d0%b2%d0%b5%d0%bb%d0%b8%d0%ba%d0%be%d0%b3%d0%be%d1%81%d0%bf%d0%be%d0%b8%d0%bd%d1%81%d0%ba%d0%b8-%d0%b4%d0%b0%d0%bd%d0%b8/,"/img/becej-logo.png,/img/becej-1.jpg,/img/becej-2.jpg,/img/becej-3.jpg",Žarka Zrenjanina 8,Novi Bečej,45.59665812,20.1310941
NIV-0023,Somborski Polumaraton,Manifestacije,"Somborski polumaraton je dvodnevna sportsko-turistička manifestacija i jedan od prepoznatljivih brendova grada Sombora. Okuplja preko hiljadu učesnika iz više od 20 zemalja, uz bogat prateći program i sjajnu atmosferu.",https://somaraton.org.rs,"/img/somaraton-logo.png,/img/somaraton-1.jpg,/img/somaraton-2.jpg,/img/somaraton-3.jpg",Apatinski put 81/36,Sombor,45.76525866,19.10539091
NIV-0024,Nectar doo,Proizvodi,"Tomatello je brend pasiranog paradajza kompanije Nectar, napravljen od paradajza sa sopstvenih i lokalnih plantaža. Minimalno obrađen i upakovan u tetrapak koji čuva svežinu i aromu, Tomatello je idealan za kuvanje ili kao osvežavajući napitak.",https://tomatello.rs/,"/img/nectar-logo.png,/img/nectar-1.png,/img/nectar-2.png,/img/nectar-3.png",Novosadski put 9,Bačka Palanka,45.25015744,19.42392847
NIV-0025,Šekspir Festival,Manifestacije,"Šekspir festival je međunarodni pozorišni festival osnovan 2014. godine, posvećen savremenim svetskim produkcijama Šekspirovih dela. Održava se svake godine krajem juna u autentičnom ambijentu Vile Stanković u Čortanovcima i jedini je festival te vrste u Srbiji.",https://sekspirfestival.org/,"/img/sekspir-logo.jpg,/img/sekspir-1.jpg,/img/sekspir-2.jpg,/img/sekspir-3.jpg",Put za Dunav 40,Čortanovci,45.16475564,19.99720047
NIV-0026,Slovačke Narodne Svečanosti,Manifestacije,"Slovačke narodne svečanosti, centralna manifestacija Slovaka u Srbiji, održavaju se svake godine drugog vikenda avgusta u Bačkom Petrovcu. Tokom trodnevnog programa posetioci uživaju u izložbama, koncertima i kulturnim događajima koji predstavljaju bogatu tradiciju i život slovačke zajednice u Srbiji.",https://www.backipetrovac.rs/,"/img/slovaci-logo.png,/img/slovaci-1.jpg,/img/slovaci-2.jpg,/img/slovaci-3.jpg",Kolarova 6,Bački Petrovac,45.36007625,19.59137498
NIV-0027,Serbia Epic Series,Manifestacije,"Serbia Epic Series je sportsko-turistički događaj koji spaja planinski biciklizam i trčanje na atraktivnim lokacijama širom Srbije. Uz raznovrsne staze i vrhunsku organizaciju, promoviše sport, rekreaciju i avanturistički turizam u jedinstvenom prirodnom ambijentu.",https://serbiaepicseries.com,"/img/epic-logo.jpg,/img/epic-1.jpg,/img/epic-2.jpg,/img/epic-3.jpg",Augusta Cesarca 1,Novi Sad,45.25160675,19.83931392
NIV-0028,Kobasicijada Turija,Manifestacije,"Kobasicijada u Turiji, stara više od 40 godina, održava se svake godine poslednjeg vikenda u februaru i traje tri dana. Poznata je po pravljenju najduže sveže kobasice na svetu, koja svake godine postaje duža za još jedan metar.",https://kobasicijada.rs/,"/img/kobasicijada-logo.png,/img/kobasicijada-1.jpg,/img/kobasicijada-2.jpg,/img/kobasicijada-3.jpg",Petra Drapšina 8,Turija,45.53997583,19.8563704
NIV-0029,Destilerija Mladenović,Proizvodi,"Destilerija Mladenović proizvodi vrhunske rakije, a znak kvaliteta dobila je za rakiju od vilijamovke čija se sirovina nabavlja isključivo u Sremu, na području Rume. Njihova vilijamovka važi za jednu od najboljih u Srbiji, potvrđeno brojnim nagradama i priznanjima na festivalima rakije.",https://destilerijamladenovic.rs,"/img/mladenovic-logo.png,/img/mladenovic-1.png",Sime Šolaje 24,Stara Pazova,44.99016336,20.14315636
NIV-0030,Tamburica Fest,Manifestacije,"Tamburica fest je svetski tamburaški festival osnovan 2008. godine u Novom Sadu, posvećen promociji tamburaške muzike i tamburice kao instrumenta. Proglašen je za najbolji etno festival u Evropi i jednu od najznačajnijih turističkih manifestacija u Srbiji.",https://tamburicafest.com/,"/img/tamburica-logo.png,/img/tamburica-1.jpg,/img/tamburica-2.jpg,/img/tamburica-3.jpg",Kralja Aleksandra 14,Novi Sad,45.25377098,19.84347717
NIV-0031,Fruškogorski Vinogradi,Proizvodi,"Fruškogorski vinogradi iz sela Banoštor, jednog od najstarijih vinogradarskih mesta u Vojvodini, spajaju bogatu tradiciju i savremenu tehnologiju u proizvodnji vrhunskih vina. Na više od 100 hektara vinograda uz obalu Dunava nastaju vina prepoznatljivog fruškogorskog karaktera, među kojima se izdvajaju premium linija Quet i serija Fruškać – simbol kvaliteta, tradicije i modernog vinarstva Fruške gore.",https://fruvin.com/,"/img/vinogradi-logo.png,/img/vinogradi-1.jpg,/img/vinogradi-2.jpg,/img/vinogradi-3.jpeg",Dunavska 5,Banoštor,45.21495254,19.61583225
NIV-0032,Novi Tvrđava Teatar,Manifestacije,Novi Tvrđava Teatar je međunarodni pozorišni festival koji se održava svake godine. Mesto održavanja je Vila Stanković u Čortanovcima. ,https://tvrdjavateatar.com/,"/img/teatar-logo.png,/img/teatar-1.jpg,/img/teatar-2.jpg,/img/teatar-3.jpg",Kneza Miloša 22,Novi Sad,45.25195944,19.79104937
NIV-0033,Banjoni 021 doo,Proizvodi,Orašasti plodovi- pečeni lešnik namenjen za direktnu konzumaciju ili kao sastojak u prehrambenim proizvodima,https://banjoni.com/,"/img/banjoni-logo.png,/img/banjoni-1.png,/img/banjoni-2.png,/img/banjoni-3.png",Žarka Zrenjanina 1,Temerin,45.3855395,19.87554961
NIV-0034,Vinarija Kovačević doo,Proizvodi,"Vinarija Kovačević je porodična vinarija sa južnih padina Fruške gore, posvećena očuvanju tradicije i razvoju modernog vinarstva u Srbiji. Od 2019. prelazi na organsku proizvodnju sa 95 ha vinograda, a vina nastaju kombinacijom tradicionalnih tehnika i savremenog pristupa.",https://vinarijakovacevic.com/,"/img/kovacevic-logo.png,/img/kovacevic-1.png,/img/kovacevic-2.png,/img/kovacevic-3.png",Vojvode Putnika 78,Irig,45.09233531,19.86069794
NIV-0035,KFTRJ Sremska Mitrovica,Proizvodi,"KFTRJ Sremska Mitrovica je porodična firma posvećena proizvodnji prave, čiste kafe po tradicionalnoj recepturi i savremenim standardima. Kontinuiranim unapređenjem proizvodnje i pakovanja održava visok kvalitet, dok stručan i strastven tim promoviše kulturu uživanja u kafi.",https://kftrj.rs/,"/img/kftrj-logo.png,/img/kftrj-1.png,/img/kftrj-2.png,/img/kftrj-3.png",Puškinova 26,Sremska Mitrovica,44.96599055,19.60617966
NIV-0036,Boemske noći Srpska Crnja,Manifestacije,"„Boemske noći“ su zabavno-turistička manifestacija u Srpskoj Crnji, posvećena liku i delu Đure Jakšića, poznatog slikara, pesnika i boema. Već dve decenije ova manifestacija okuplja sve više posetilaca, slaveći umetnost, boemski duh i kulturno nasleđe Srpske Crnje.",https://www.instagram.com/boemskenoci_srpskacrnja/,"/img/boemske-logo.png,/img/boemske-1.png,/img/boemske-2.png,/img/boemske-3.png",Kralja Aleksandra 65,Srpska Crnja,45.72585365,20.69486644
NIV-0037,Kovano gvožđe Mesaroš,Zanat,"Kovano gvožđe Mesaroš iz Bečeja bavi se ručnom izradom predmeta od kovanog gvožđa, poput kapija, ograda, nameštaja i dekorativnih elemenata. Kao predstavnik stare zanatske tradicije, spojem veštine i umetnosti čuvaju duh ručnog kovanja metala.",https://www.facebook.com/people/Kovano-Gvozdje-Mesaros/100057258768348/,"/img/mesaros-logo.png,/img/mesaros-1.png,/img/mesaros-2.png,/img/mesaros-3.png",Jovana Popovića 41,Bečej,45.6223717,20.04574628
NIV-0038,SAČ FEST-2012 Nova Gajdobra,Manifestacije,"Manifestacija „SAČ FEST“ u Novoj Gajdobri održava se u maju, prve nedelje nakon seoske slave Svetog Vasilija Ostroškog. Prepoznatljiva je po takmičenju u pripremi jagnjetine ispod sača po tradicionalnom receptu, koje okuplja stotine učesnika i posetilaca iz zemlje i inostranstva.",https://www.youtube.com/watch?v=8T1u2HNewwc,"/img/gajdobra-logo.png,/img/gajdobra-1.png,/img/gajdobra-2.png,/img/gajdobra-3.png",Park u centru sela,Nova Gajdobra,45.33026213,19.43635316
NIV-0039,Vinarija Kiš,Proizvodi,Kišov Bermet i Kišov Bermet beli su desertna vina sa zaštićenim geografskim poreklom i jedan od simbola Sremskih Karlovaca. Ova jedinstvena vina obogaćena su mešavinom trava i začina po porodičnom receptu starom više od 200 godina.,https://kis1801.com/,"/img/kis-logo.png,/img/kis-1.png,/img/kis-2.png,/img/kis-3.png",Karlovačkog mira 46,Sremski Karlovci,45.19628478,19.94151128
